2025,,, ,,,,,,,,,,
,,,,,,,,,,,,,
Krakka Æfingar,,,U16 Æfingar,,,U21 Æfingar,,,Fullorðins,,,Mánaðarkort,
Tekjur,,,Tekjur,,,Tekjur,,,Tekjur,,,Bogfimisetrið,
Vor,350000,,Vor,675000,,Vor,450000,,Vor,683375,,Vor,1072500
Sumar,100000,,Sumar,100000,,Sumar,100000,,Sumar,661250,,Sumar,748000
Haust,0,,Haust,0,,Haust,0,,Haust,0,,Haust,0
Samtals,450000,,Samtals,775000,,Samtals,550000,,Samtals,1344625,,Samtals,1820500
,,,,,,,,,,,,,
Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,,
Vor,175000,,Vor,337500,,Vor,252000,,Vor,365250,,,
Sumar,50000,,Sumar,50000,,Sumar,50000,,Sumar,355000,,,
Haust,0,,Haust,0,,Haust,0,,Haust,0,,,
Samtals,225000,,Samtals,387500,,Samtals,302000,,Samtals,720250,,,
,,,,,,,,,,,,,
Laun,,,Laun,,,Laun,,,Laun,,,,
Vor,244398,,Vor,207207,,Vor,276276,,Vor,0,,,
Sumar,192717,,Sumar,219765,,Sumar,293020,,Sumar,0,,,
Haust,0,,Haust,0,,Haust,0,,Haust,0,,,
Samtals,437115,,Samtals,426972,,Samtals,569296,,Samtals,0,,,
,,,,,,,,,,,,,
Margins,,,Margins,,,Margins,,,Margins,,,Samtals Margin,
Vor,-69398,,Vor,130293,,Vor,-78276,,Vor,318125,,Vor samtals,"300,744"
Sumar,-142717,,Sumar,-169765,,Sumar,-243020,,Sumar,306250,,Sumar samtals,"-249,252"
Haust,0,,Haust,0,,Haust,0,,Haust,0,,Haust samtals,0
Samtals,-212115,,Samtals,-39472,,Samtals,-321296,,Samtals,624375,,Samtals,"51,492"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Samtals,Á mánuði,,,,,,,,,,,
Tekjur,"3,119,625kr","259,969kr",,Bogfimisetrið,Samtals,Mánuði,,Bogfimisetrið Greitt Vor,,Mánaðarkort,Fullorðins,Laun,Total
Bogfimisetrið,"1,634,750kr","136,229kr",,Vor,"764,500","191,125",,Janúar,"145,125","262,500",90750,0,"498,375"
Laun,"1,433,383kr","119,449kr",,Sumar,"150,000","37,500",,Febrúar,"184,875","270,000",90750,0,"545,625"
Margin,"51,492kr","4,291kr",,Haust,0,0,,Mars,"191,125","270,000",90750,"235,000","786,875"
,,,,,,,,Apríl,"191,125","270,000",93000,"235,000","789,125"
,,,,,,,,,,,,,
,,,,,,,,Bogfimisetrið Greitt Sumar,,Mánaðarkort,Fullorðins,Laun,Total
,,,,,,,,Maí,0,"246,500",124750,235000,"606,250"
,,,,,,,,Júní,0,"255,000",107750,0,"362,750"
,,,,,,,,Júlí,0,"246,500",122500,0,"369,000"
,,,,,,,,Ágúst,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,Bogfimisetrið Greitt Haust,,Mánaðarkort,Fullorðins,Laun,Total
,,,,,,,,September,0,0,,0,0
,,,,,,,,Október,0,0,,0,0
,,,,,,,,Nóvember,0,0,,0,0
,,,,,,,,Desember,0,0,,0,0
